"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume"
"2014-11-20",43.31,43.42,43.2,43.26,2969391
"2014-12-04",45.39,45.49,44.88,45.29,2606436
"2014-12-11",44.47,44.64,44.03,44.17,2101379
"2014-12-18",44.64,45.04,44.34,45.04,2214238
"2015-01-08",45.48,46.06,45.46,46.06,2564528
"2015-01-15",44.92,45.03,44.52,44.66,2930506
"2015-01-22",44.03,44.6,43.47,44.59,2575090
"2015-01-29",43.01,43.81,42.89,43.68,3347013
"2015-02-05",43.51,44.07,43.38,44.02,2007509
"2015-02-12",43.98,45.07,43.98,44.94,4637187
"2015-02-19",44.77,45.05,44.64,44.75,1389766
"2015-02-26",44.86,44.94,44.59,44.7,1607610
"2015-03-05",44.84,44.91,44.59,44.68,1066675
"2015-03-12",43.77,44.46,43.69,44.38,1225239
"2015-03-19",44.75,44.83,44.35,44.67,1108590
"2015-03-26",45.03,45.03,44.61,44.7,1678300
"2015-04-02",45.02,45.57,44.83,45.37,1803877
"2015-04-09",45.04,45.58,44.96,45.51,1755609
"2015-04-16",45.28,45.55,45.06,45.35,1018147
"2015-04-23",44.47,44.99,44.38,44.6,2827034
"2015-04-30",41.72,41.83,41.11,41.24,4628703
"2015-05-07",41.54,41.75,41.25,41.45,1363942
"2015-05-14",41.36,41.56,41,41.48,3290791
"2015-05-21",42.64,43.08,42.47,42.82,4761979
"2015-05-28",42.55,42.68,42.39,42.67,1744151
"2015-06-04",42.14,42.34,41.95,42.01,1474369
"2015-06-11",42.45,42.6,42.3,42.51,1252042
"2015-06-18",42.3,42.63,42.15,42.36,2595031
"2015-06-25",41.52,41.77,41.04,41.06,2082165
"2015-07-02",40.76,40.84,40.06,40.22,1977022
"2015-07-09",39.96,40.31,39.75,39.76,3865168
"2015-07-16",40.24,40.54,40.19,40.37,4073448
"2015-07-23",38.93,39.24,38.73,38.82,2353067
"2015-07-30",38.35,38.82,38.34,38.67,3236017
"2015-08-06",40.2,40.28,39.96,40.14,2057591
"2015-08-13",39.59,39.71,39.23,39.24,2457940
"2015-08-20",38.84,39.05,38.47,38.48,2498517
"2015-08-27",37.62,38.19,37.37,38.14,2919990
"2015-09-03",37.75,38.41,37.6,37.87,2267605
"2015-09-10",37.56,37.72,37.25,37.41,1789132
"2015-09-17",38.56,38.76,38.07,38.15,1726933
"2015-09-24",35.74,35.94,35.34,35.83,3162458
"2015-10-01",35.11,35.51,34.86,35.47,3214414
"2015-10-08",36.61,38.15,36.61,37.94,2652626
"2015-10-15",37.95,38.21,37.49,38.18,2276196
"2015-10-22",37.88,39.36,37.83,38.9,3027376
"2015-10-29",37.88,38.25,37.72,38.2,1961028
"2015-11-05",38.79,38.92,38.36,38.66,1417340
"2015-11-12",38.77,39.03,38.17,38.22,2962096
"2015-11-19",37.56,37.69,37.25,37.52,1754048
"2015-12-03",35.79,35.98,35.1,35.33,2605407
"2015-12-10",34.82,34.86,34.43,34.51,6414774
"2015-12-17",33.66,33.83,32.72,32.75,3852631
"2015-12-24",33.69,33.9,33.47,33.61,1311011
"2015-12-31",33.54,33.88,33.38,33.39,2016981
"2016-01-07",31.91,32.23,31.61,31.75,3120534
"2016-01-14",31.29,31.95,31,31.64,3916195
"2016-01-21",31.19,31.83,30.95,31.4,2977463
"2016-01-28",35.61,35.8,34.96,35.06,4597898
"2016-02-04",35.59,36.67,35.47,36.34,4517966
"2016-02-11",35.2,35.46,34.47,34.82,2849542
"2016-02-18",36.61,36.7,36.06,36.13,3830712
"2016-02-25",36.18,36.53,35.65,36.52,4810685
"2016-03-03",37.4,37.86,37.36,37.82,2223143
"2016-03-10",37.74,37.97,36.93,37.09,2161465
"2016-03-17",38.1,38.53,38.03,38.41,1994332
"2016-03-24",37.3,37.73,37.06,37.71,2000519
"2016-03-31",38.34,38.57,38.15,38.44,2784313
"2016-04-07",36.8,37.15,36.4,36.7,3916003
"2016-04-14",38.48,38.81,38.27,38.77,2821742
"2016-04-21",38.95,40.98,38.83,40.67,5590165
"2016-04-28",41.2,42,41.06,41.26,2443736
"2016-05-05",39.1,39.55,38.96,38.99,2581291
"2016-05-12",40.29,40.89,40.18,40.52,3431313
"2016-05-19",41.84,42.42,41.64,42.25,2990124
"2016-05-26",45.02,45.09,44.49,44.64,2630738
"2016-06-02",45.24,45.55,44.97,45.49,3328183
"2016-06-09",45.17,45.82,45.05,45.75,3172848
"2016-06-16",44.91,45.37,44.54,45.28,3423099
"2016-06-23",45.99,46.05,45.81,46.04,1699024
"2016-06-30",43.9,44.9,43.9,44.6,4774582
"2016-07-07",43.52,43.86,43.1,43.7,3152406
"2016-07-14",45.79,46.03,45.36,45.38,2038265
"2016-07-21",45.29,47.83,45.29,46.7,9195690
"2016-07-28",47.68,47.68,46.98,47.55,1994475
"2016-08-04",47.16,47.28,46.48,46.72,2056224
"2016-08-11",46.83,46.92,46.26,46.59,2689226
"2016-08-18",46.26,47.04,46.13,47.03,3302790
"2016-08-25",46.14,46.5,46.06,46.2,4102716
"2016-09-01",45.79,47.13,45.79,47.13,6300386
"2016-09-08",47.51,47.98,47.27,47.86,10999312
"2016-09-15",44.49,44.77,44.21,44.28,7446201
